class,conversation,augmented_conversation
일반 대화,"엄마 또 데이터 다 썼다고 뭐라고 하시는데, 무제한 요금제 쓰시라고 해도 말 안 들어. <LF> 부모님은 그런 거 불안해서 싫대. 돈 많이 나간다고. <LF> 근데 매달 추가요금 내는 게 더 비싸잖아. <LF> 내가 그 얘기도 했는데도 안 들으셔. <LF> 차라리 가족 요금제로 묶어드리는 건 어때? <LF> 그것도 생각해봤지. 근데 아빠는 또 별도로 쓰고 싶어하시고. <LF> 결국 이번 달도 내가 데이터 선물했어. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.","엄마 또 데이터 다 썼다고 뭐라고 ?,내는무제한 요 쓰시라고 해도 말 안 들어. <LF> 부모님은 그런 거 불안해서 싫대. 돈 많이 제로. <LF> 근데 매달 추가요금 싶어하시고 게 더 비싸잖아. <LF> 요금가 그 얘기도금제했는데도 안 들으셔. <LF> 차라리 가족 내나간다고 묶어드리는 건 어때하시는데 <LF> 그것도 생각해봤지. 근데 아빠는 또 별도로 쓰고  <LF> 결국.이번 달도 내가 데이터 선물했어. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아."
일반 대화,"저번 여행 때 지출 정산 아직 안 됐는데, 아무도 말 안 꺼내서 고민이야. <LF> 그거 슬슬 얘기해야지. 네가 총무였잖아? <LF> 맞아. 영수증 다 모아놨는데 보내기도 좀 그렇고... <LF> 그냥 톡방에 정산표 한 번 올려봐. <LF> 괜히 돈 얘기 먼저 꺼내기 껄끄럽더라. <LF> 그래도 늦어지면 더 어색해져. 미리 하는 게 나아. <LF> 오늘 저녁쯤 정리해서 보내보려고. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.","저번 여행 때 지출 아직 안 됐는데, 다도 말 안 꺼내서 고민이야. <LF> 그거 슬슬 얘기해야지. 네가얘기총무였잖아? <LF> 맞아. 영수증 모아놨는데 보내기도 좀 그렇고. <LF> 그냥 톡방에 정산표 한 번 올려봐. <LF> 괜히 돈 먼저 꺼내기정산껄끄럽더라... <LF> 그래도 늦어지면정리더 어색해져. 미리 하는 게아무나아. <LF> 오늘 저녁쯤  <LF>  보내보려고.해서확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아."
일반 대화,우리 회사 복지 좋다더니 실속은 하나도 없더라. <LF> 어떤 거 기대했는데? <LF> 명절 선물이나 생일 쿠폰 그런 거라도 줄 줄 알았지. <LF> 헬스장 할인이나 제휴카드도 없다며? <LF> 응. 복지 포인트만 주는데 그것도 사용처 제한 엄청 심해. <LF> 그냥 월급에서 빼서 주는 느낌이야. <LF> 복지란 이름 붙였지만 결국 실비는 거의 없지. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,우리복지회사 복지 좋다더니 실속은은하나도 없더라. <LF> 어떤 거 기대했는데? <LF> 명절 선물이나 생일 쿠폰 그런라도거 줄 줄 알았지. <LF> 헬스장 할인이나 제휴카드도 없다며? <LF> 응요즘 포인트만 주는데 도 사용처 제한 엄청 심해  <LF> 그냥 월급에서 빼서 주는 느낌이야. <LF> 복지란 이름 붙였지만 결국 실비는 거의 없지. <LF> 도 . 뭐 하나시대 쉽게 안 넘어가는그것확실히인 것.같아.
일반 대화,요즘 방에 곰팡이 너무 심해서 벽지가 다 뜯겨. <LF> 헉 그 정도야? 습기 심한가 보네. <LF> 베란다 문 계속 열어두는데도 이래. <LF> 제습기 써봤어? <LF> 중고로 하나 구했는데 생각보다 효과가 약하더라. <LF> 원룸 오래된 곳이라 그런가봐. <LF> 집주인한테 얘기해봐야 하나 고민 중이야. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,요즘 방에 곰팡이 너무 심해서구 가 다 뜯겨. <LF> 헉 그 정도야? 습기 심한가 보네. <LF> 베란다 문 계속 열어두는데도 이래. <LF> 제습기 써보다?오래된중고로 하나  <LF> 했는데 생각봤어확실히효과가 약하더라. <LF> 원룸 벽지 곳이라 그런가봐. <LF> 집주인한테 얘기해봐야 하나 고민 중이야. <LF>  요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.
일반 대화,자리 맡고 나가 있는 사람 진짜 많더라. <LF> 아침 일찍 와서 책만 하나 올려두고 몇 시간 자리를 비워. <LF> 그런 사람들 보면 말 걸고 싶을 정도야. <LF> 관리자한테 말해봤는데 규정이 애매하대. <LF> 자기 물건 두고 있으면 '사용 중'으로 간주하니까. <LF> 그래서 결국 자리는 비어있는데 못 쓰는 상황. <LF> 진짜 불공평하지 않아? <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,자리 맡고 나가 있는 진짜 많더라자리는 <LF> 아침 일찍 와서 책만 하나 것두고 몇 시간 자리를 비워. <LF> 그런 사람들 보면 말 걸고 싶을 정도야. <LF> 관리자한테 말 <LF>  규정이 애매하대. <LF> 자기 물건 두고 있으면 '사용쉽게중'으로 간주하니까. <LF> 그래서 결국 . 비어있는데 못사람쓰는 상황. <LF> 진짜 올려 .?하나확실히 요즘은 뭐 해봤는데도 안 넘어가는 시대인 불공평하지 같아않아
일반 대화,오늘 출석 체크했는데 결석 처리됐더라. <LF> 혹시 화면 켜놓고 딴짓했어? <LF> 아니야. 영상 끝까지 다 봤어. 근데 시스템 오류라더라. <LF> 담당 교수한테 메일은 보냈어? <LF> 응. 캡처도 첨부해서 보냈어. 확인해달라고. <LF> 이런 일이 자주 있으니까 진짜 불안해. <LF> 온라인 수업인데 더 꼼꼼히 챙겨야 되는 느낌이야. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,오늘 출석 체크했는데 결석 처리됐더라. <LF> 혹시 화면 켜놓고 딴짓했어? <LF> 아니야. 영상 .까지 다 봤어. 근데 시스템 오류라더라. <LF> 담당 꼼꼼히한테 메일은 보냈어? <LF> 응. 캡처도 첨부해서 보냈어. 확인해달라고. <LF> 이런 일이인데자주 있으니까 진짜 불안해. <LF> 온라인 수업 더 교수 챙겨야 되는 느낌이야시대 <LF>  요즘은 뭐 하나도확실히쉽게 안 .인넘어가는것 같아끝
일반 대화,"카페에서 공부하려 했는데, 옆 테이블 너무 시끄러워서 하나도 집중 안 됐어. <LF> 요즘 카페는 진짜 도서관 아니면 공부하기 힘든 곳이야. <LF> 직원한테 조용히 해달라고 말해볼까 했는데 좀 눈치 보이더라. <LF> 그럴 땐 노이즈 캔슬링 이어폰이 필수야. <LF> 가격이 좀 부담돼서 고민 중이긴 해. <LF> 내가 쓰는 거 한 번 써볼래? 효과 꽤 있어. <LF> 진짜? 그럼 다음에 한번 빌려줘. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.","카페 공부하려 했는데, 옆 테이블  <LF>  시끄러워서 하나도 집중 안 됐어. <LF> 요즘 카페는 진짜 도서관 아니면힘든공부하기 곳이야. <LF> 직원진짜 조용히 해달라고 말해볼까 했는데뭐좀 눈치 보이더라. <LF> 그럴 에 노이즈 캔슬링 이어폰이 필수야. <LF> 가격이 좀 부담돼서 고민 넘어가는긴 해. <LF> 내가 쓰는에서거 한 번 써볼.? 효과 꽤 있어래 <LF> 한테? 다음땐 한번 빌려줘.너무확실히 요즘은 하나도 쉽게 안 중이 시대인 것그럼같아."
일반 대화,이번 시험 생각보다 못 봤어. 70점밖에 안 나왔어. <LF> 헉 난 88점 나왔는데 예상보다 높았네. <LF> 공부 열심히 했잖아. 나는 시간 부족해서 마지막 문제 못 풀었어. <LF> 나도 찍은 문제 많았는데 운이 좋았던 듯. <LF> 성적 공개되니까 괜히 비교하게 된다. <LF> 맞아. 신경 안 쓰려고 해도 자꾸 의식돼. <LF> 그냥 다음 시험 땐 전략을 좀 바꿔보려구. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,이번 시험 다음보다 못 봤어. 점밖에70안 . <LF> 헉 난  <LF> 점 나왔는데 예상보다 높았네. 공부 열심히 했잖아. 나는 시간 부족해서 마지막 <LF> 문제 못 풀었어. 나도 찍은 문제 많았는데 운이 좋았던 듯. <LF> 성적 공개되니까 괜히 비교하게 된다. <LF> 맞아. 신경 안 쓰려고 해도 자꾸 의식전략. <LF> 그냥 생각 시험 땐 돼을 좀 바꿔보려구.88확실히 요즘은 뭐도하나 나왔어쉽게 안 넘어가는 <LF> 시대인 것 같아.
일반 대화,오늘 회의 시작하는데 갑자기 인터넷이 끊겨서 완전 당황했어. <LF> 줌 접속 자체가 안 됐겠네? <LF> 맞아. 재부팅도 하고 와이파이 바꿔도 안 되더라. <LF> 결국 회의 늦게 들어간 거야? <LF> 응. 10분쯤 늦었는데 이미 다들 회의 중이더라. <LF> 팀장님이 눈치 좀 주셨겠네. <LF> 좀 무안했지. 근데 진짜 예고 없이 끊겨서 어쩔 수 없었어. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,오늘 회의 하는데 갑자기 인터넷이 끊겨서 완전 당황했어. <LF> 줌 접속 자체가 안 됐겠네? <LF> .. 재부팅회의 하고 와이파이 바꿔도 안시작되더라. <LF> 결국 회의 늦게 들어간 거야? <LF> 응. 10분쯤 늦었는데 이미 다들 끊겨서 중이무안했지라맞아 <LF> 팀장님이 눈치 좀 하나. <LF> 좀 더. 근데 진짜 예고 없이 도 어쩔 수 없었어. <LF> 확실히 요즘은 뭐 주셨겠네도 쉽게 안 넘어가는 시대인 것 같아.
일반 대화,택시 탔는데 기사님이 내비 무시하고 자꾸 돌아가더라. <LF> 그런 분들 종종 있어. 말은 해봤어? <LF> 했는데 자긴 이 길이 빠르다고 하시더라고. <LF> 근데 시간도 오래 걸리고 요금도 더 나왔겠네. <LF> 그렇지. 괜히 말 꺼낸 내가 불편해졌어. <LF> 요즘엔 목적지 공유하고 타는 게 낫겠더라. <LF> 진짜 다음부턴 앱으로 동선 공유해야겠다. <LF> 확실히 요즘은 뭐 하나도 쉽게 안 넘어가는 시대인 것 같아.,택시 탔는데 기사님이 내비 무시하고 자꾸 돌아가더라. <LF> 그런 분들 있어. 말은 해봤어? <LF> 했는데 자긴종종 길이 빠르다고 이더라고. <LF> 근데 시간도 괜히가걸리고 요금도 더 나왔겠네.내그렇지. 오래 말 꺼낸  <LF>  불편해졌어. <LF> 요즘엔 목적지 공유하고 타는 게 낫겠더라. <LF> 진짜 다음부턴 앱으로 동선 공유해야겠다. <LF> 확실히 요즘은 뭐 하나도하시쉽게 안 넘어가는 시대인 것 같아.
