class,conversation,augmented_conversation,translation_check
일반 대화,"아침에 지갑 두고 와서 돈이랑 카드 다 놓고 온 걸 알았어. 다시 집에 가려니 출근 시간 다 날아갈 것 같아 죽겠더라.❤️동료에게 돈 빌리려니 미안해서 죄송하기만 하고, 제발 누가 주웠으면 좋겠어.❤️지하철역에 신고도 해봤는데 아직 연락이 없어.❤️이럴 바엔 경찰에 신고해서 공식적으로 처리해야 할까 고민 중이야.❤️다음엔 꼭 지갑 관리 잘해야겠어.","오늘 아침에 지갑을 두고 오면서 현금과 카드 모두를 잊어버렸다는 것을 깨달았어요. 집에 다시 가면 출퇴근 시간이 통째로 날아갈 거라 생각하니 정말 끔찍했어요. <LF> 동료에게 돈을 빌려달라고 하면서 너무 죄송하고 미안한 마음이 들었고, 누군가 지갑을 찾아주길 바랐어요. <LF> 지하철 역에 분실 신고도 했지만 아직 연락이 없네요. <LF> 이 시점에서 공식적으로 처리할 수 있도록 경찰에도 신고할까 생각 중이에요. <LF> 다음부터는 지갑을 더욱 조심히 챙기겠습니다.",True
일반 대화,오늘 점심 도시락에 담배 꽁초가 들어 있었어. 냄새가 너무 더럽고 기분 나빠서 미칠 것 같더라.❤️장난이라고는 해도 사과 한마디 없어서 열불이 치밀었지.❤️결국 그 동료에게 나한테 왜 이런 짓을 했냐고 물었어.❤️그러자 미안하다고는커녕 웃으며 그냥 지나가더라.❤️이제부터 도시락통 잠금 장치 없인 절대 남에게 맡기지 않을 거야.,오늘 내 도시락 안에 담배꽁초가 있었어요. 냄새가 너무 역겨워서 기분이 정말 나빴어요.<LF> 농담으로 한 짓이라 해도 사과조차 없어서 정말 화가 났습니다.<LF> 결국 그 동료에게 왜 그런 짓을 했냐고 물었어요.<LF> 사과는커녕 그냥 웃으며 가버리더군요.<LF> 앞으로는 도시락에 자물쇠 없이는 누구에게도 맡기지 않을 거예요.,True
일반 대화,회의 자료를 USB에 담아두었는데 복사 과정에서 파일이 통째로 사라졌어. 백업도 안 해둬서 진짜 미치겠더라.❤️다른 동료에게 입금 확인 부탁했지만 자료가 없다면서 미안하단 말 한마디 없었지.❤️이런 식으로 책임 회피하면 내가 죽는다 싶었어.❤️결국 밤새 다시 작업하고 나니 몸이 거덜 날 지경이야.❤️제발 이번에는 꼭 백업 잘해야겠어.,"회의 자료를 USB에 저장했는데, 복사하는 도중에 파일 전체가 사라져 버렸어요. 백업도 하지 않아서 정말 속상했어요.<LF> 다른 동료에게 결제 확인을 부탁했는데, 자료도 없고 사과조차 하지 않더라고요.<LF> 사람들이 책임을 회피할 때면 정말 미치겠다는 생각이 들어요.<LF> 결국 밤새워서 모든 걸 다시 작업했는데 지금은 몸이 완전히 지쳤어요.<LF> 이번에는 꼭 제대로 백업을 해야겠어요.",True
일반 대화,"팀장님이 내 아이디어를 통째로 베껴가고 내 이름은 빼먹었어. 속으로 칼 들고 찌르고 싶었지.❤️다른 팀원들이 상사 앞에서 ""내가 만든 거 맞죠?"" 라고 따졌는데도 이름 빼고 넘어가더라.❤️정말 미치도록 화가 났어.❤️그 뒤부터는 보고서에 내 이름을 진하게 크게 써놨다니까.❤️이제는 법적 검토도 고민할 정도로 진심이야.",팀장이 내 아이디어를 완전히 베껴가고 내 이름은 빼버렸어. 마음속으로 칼로 찌르고 싶을 정도였어. <LF> 다른 팀원들이 사장님께 “이거 제가 만든 거 맞나요?”라고 따졌는데도 내 이름은 여전히 빠져 있었어. <LF> 난 정말 미칠 듯이 화가 났어. <LF> 그때부터 보고서에 내 이름을 크고 굵게 쓰기 시작했어. <LF> 지금은 정말 법적 검토도 진지하게 고려 중이야.,True
일반 대화,사무실 에어컨이 고장 나서 더워 죽을 지경이었어. 시설팀에 신고했는데 나 몰라라 하길래 열 받았지.❤️동료들은 병신 취급하듯 짜증만 내다가 한 사람이 소리지르기까지 했어.❤️결국 매니저가 와서 30분 만에 고쳐줬지만 땀에 절어 일했더니 체력만 바닥났어.❤️다시는 이런 일 반복되지 않도록 고장 날 때마다 칼같이 민원 넣을 거야.❤️정말 다음엔 또 이런 일 겪기 싫어.,"사무실 에어컨이 고장 나서 견딜 수 없을 만큼 더웠다. 시설팀에 신고했지만, 그들은 신경 쓰지 않는 듯 행동해서 정말 화가 났다. <LF>동료들은 모두 내가 바보인 양 짜증나게 굴었고, 그중 한 명은 결국 소리를 지르기까지 했다. <LF>결국 관리자가 와서 30분 만에 고쳐주었지만, 땀에 흠뻑 젖은 채로 일한 후 완전히 지쳐 버렸다. <LF>앞으로는 고장 날 때마다 강하게 항의해서 이런 일이 다시는 일어나지 않도록 할 생각이다. <LF>정말 다시는 이런 일을 겪고 싶지 않다.",True
일반 대화,"택배 상자가 열려 있고 물건이 전부 도난당했어. 돈은 날리고 손해배상만 청구된다니 기분 나쁘다 말도 못해.❤️고객센터에 신고하니 한 달 걸린다고 하는데, 제발 빨리 처리됐으면 좋겠어.❤️이럴 바엔 경찰에 바로 신고해서 추적해야 할까 고민 중이야.❤️다음번엔 안전봉투에 넣어달라고 반드시 요청해야겠어.❤️이제 택배는 절대 함부로 신뢰하지 않을 거야.","배달함이 열려 있었고 모든 물건이 도난당했어요. 돈도 잃고 보상 청구만 할 수 있는데, 정말 속상해서 말로 다 표현할 수가 없네요. <LF> 고객센터에 신고했지만 처리가 한 달이나 걸린다고 하더라고요. 빨리 처리되었으면 좋겠어요. <LF> 이쯤 되면 경찰에 직접 신고해서 추적하게 할까도 생각 중이에요. <LF> 다음에는 꼭 소포를 안전한 봉투에 넣어달라고 요청할 거예요. <LF> 이제부터는 배송을 함부로 믿지 않을 거예요.",True
일반 대화,점심값 5000원 빌렸는데 아직 갚지 않아 정말 미치겠어. 미안하다고는 하지만 매번 미루기만 하더라.❤️내가 소리지르면 기분 나빠하니 참았지.❤️이번 주말까지 무조건 갚으라고 압박하자고 생각 중이야.❤️안 갚으면 다음엔 법적 조치라도 고민해야겠다.❤️더는 이런 일 없도록 해야겠어.,"점심값으로 5,000원을 빌려줬는데 아직 안 갚아서 정말 속이 타요. 미안하다고는 하는데, 매번 미루기만 해요. <LF> 화내고 싶지만 상대방을 속상하게 하고 싶지 않아서 참아왔어요. <LF> 이번 주말까지 꼭 갚으라고 압박할 생각이에요. <LF> 만약 안 갚으면 다음에는 법적 조치를 고려해야 할 것 같아요. <LF> 이런 일이 다시는 없도록 해야겠어요.",True
일반 대화,"회식비 정산할 때 한 놈이 돈 내놓으라 해놓고 시치미 뗐어. 협박 비슷하게 구는 모습 보니 돌아버릴 것 같았어.❤️결국 화면 캡처해서 증빙 자료 모아놨다니까.❤️다음번부터는 카드 결제 화면을 바로 캡처해두고, 현금 처리 안 하기로 했어.❤️절대 또 당하지 않을 거야.❤️정산 끝나고 나면 꼭 확인할 거야.",회사 회식비 정산을 할 때 한 사람이 돈을 요구하더니 마치 아무 일도 없었던 것처럼 행동했어요. 그가 마치 저를 협박하는 것처럼 행동하는 걸 보니 제가 미쳐가는 기분이 들었어요. <LF>결국 증거를 모으기 위해 스크린샷을 찍었어요.<LF> 앞으로는 카드 결제 화면을 바로 캡처하고 현금 거래는 피할 거예요. <LF>다시는 당하지 않을 거예요. <LF>정산이 끝나면 반드시 모든 것을 다시 한 번 꼼꼼히 확인할 거예요.,True
일반 대화,"사무실에서 동료가 내 모니터에 낙서해놓고 사과도 안 했어. 자료 다 더럽게 손대놓고 미안하다는 말 한마디 없더라.❤️화가 나서 바로 인사팀에 신고했어.❤️그제서야 미안하다더니, 그 뒤로 내 USB도 못 빌려주게 됐어.❤️앞으로는 내 컴퓨터 절대 방치하지 않을 거야.❤️다시는 이런 일 반복되지 않길 바라.","한 동료가 사무실에서 내 모니터에 낙서를 했고 사과 한마디도 하지 않았어요. 내 모든 파일을 엉망으로 만들어 놓고도 전혀 미안하다는 말이 없었죠. <LF> 너무 화가 나서 바로 인사팀에 신고했어요. <LF> 그제야 사과하더니, 그 이후로는 내게 USB도 빌려주지 않더군요. <LF> 이제부터 절대 내 컴퓨터를 혼자 두지 않을 거예요. <LF> 이런 일이 다시는 일어나지 않았으면 좋겠어요.",True
일반 대화,"지하철역에서 누군가 갑자기 소리지르며 난동을 부렸어. 휴대폰 뺏길까 봐 너무 무서워 죽는 줄 알았다니까.❤️다행히 순찰하던 경찰이 제압해서 상황은 정리됐지만, 한동안 멘붕 상태였어.❤️이러다 진짜 큰 사고 나는 걸까 두렵더라.❤️다음부턴 그런 상황에선 즉시 신고하고 몸을 피해야겠어.❤️정말 다음엔 안전 거리를 확보할 거야.","어느 순간 누군가 지하철 역에서 갑자기 소리를 지르며 소란을 피우기 시작했어요. 너무 무서워서 죽는 줄 알았고, 혹시 제 휴대폰을 빼앗길까 걱정도 됐어요. <LF> 다행히 순찰 중이던 경찰관이 그 사람을 제압해서 상황이 해결되었지만, 한동안 충격에서 헤어나오지 못했어요. <LF> 이런 상황이 계속되면 정말 큰 사고가 날까봐 두려웠어요. <LF> 앞으로는 이런 일이 생기면 즉시 신고하고 안전한 곳으로 대피할 거예요. <LF> 다음부터는 반드시 안전 거리를 유지할 거예요.",True
