class,conversation,augmented_conversation
일반 대화,"아침에 지갑 두고 와서 돈이랑 카드 다 놓고 온 걸 알았어. 다시 집에 가려니 출근 시간 다 날아갈 것 같아 죽겠더라. <LF> 동료에게 돈 빌리려니 미안해서 죄송하기만 하고, 제발 누가 주웠으면 좋겠어. <LF> 지하철역에 신고도 해봤는데 아직 연락이 없어. <LF> 이럴 바엔 경찰에 신고해서 공식적으로 처리해야 할까 고민 중이야. <LF> 다음엔 꼭 지갑 관리 잘해야겠어.","아침에 지갑 두고 와서 돈이랑 카드 다 놓고 걸 알았어. 다시 집에 가려니 출근 시간 다 날아갈 것 같아 죽겠더라 <LF>  빌리려니 미안해서 죄송하기만 하고, 제발 누가 주웠으면 좋겠어. <LF> 지하철역에 신고 해봤는데 아직 연락이 없어. <LF> 이럴 바엔 경찰 신고해서 공식적으로 처리해야 할까 고민 중이야. <LF> 다음엔 꼭 지갑 잘해야겠어."
일반 대화,오늘 점심 도시락에 담배 꽁초가 들어 있었어. 냄새가 너무 더럽고 기분 나빠서 미칠 것 같더라. <LF> 장난이라고는 해도 사과 한마디 없어서 열불이 치밀었지. <LF> 결국 그 동료에게 나한테 왜 이런 짓을 했냐고 물었어. <LF> 그러자 미안하다고는커녕 웃으며 그냥 지나가더라. <LF> 이제부터 도시락통 잠금 장치 없인 절대 남에게 맡기지 않을 거야.,오늘 도시락에 담배 꽁초가 들어 있었어. 냄새가 너무 더럽고 기분 나빠서 미칠 것 같더라. <LF> 장난이라고는 해도 사과 한마디 없어서 불이 치밀었지 <LF> 결국 그 동료에게 나한테 왜 이런 짓 했냐고 물었어. <LF> 그러자 미안하다고는커녕 웃으며 지나가더라. <LF> 이제부터 도시락통 장치 없인 절대 에게 맡기지 않을 거야.
일반 대화,회의 자료를 USB에 담아두었는데 복사 과정에서 파일이 통째로 사라졌어. 백업도 안 해둬서 진짜 미치겠더라. <LF> 다른 동료에게 입금 확인 부탁했지만 자료가 없다면서 미안하단 말 한마디 없었지. <LF> 이런 식으로 책임 회피하면 내가 죽는다 싶었어. <LF> 결국 밤새 다시 작업하고 나니 몸이 거덜 날 지경이야. <LF> 제발 이번에는 꼭 백업 잘해야겠어.,회의 자료를 USB에 담아 복사 과정 파일이 통째로 사라졌어. 백업도 해둬서 진짜 미치겠더라 <LF> 다른 동료에게 입금 확인 부탁했지만 자료가 없다면서 미안하단 말 한마디 없었지.이런 식으로 책임 회피하면 내가 죽는다 싶었어. <LF> 결국 밤새 다시 작업하고 나니 몸이 거덜 날 지경이야. <LF>  이번 꼭 백업 잘해야겠어.
일반 대화,"팀장님이 내 아이디어를 통째로 베껴가고 내 이름은 빼먹었어. 속으로 칼 들고 찌르고 싶었지. <LF> 다른 팀원들이 상사 앞에서 ""내가 만든 거 맞죠?"" 라고 따졌는데도 이름 빼고 넘어가더라. <LF> 정말 미치도록 화가 났어. <LF> 그 뒤부터는 보고서에 내 이름을 진하게 크게 써놨다니까. <LF> 이제는 법적 검토도 고민할 정도로 진심이야.","팀장님이 내 아이디어를 통째로 베껴가고 이름은 속으로 칼 들고 찌르고 싶었지다른 팀들이 상사 앞에서 ""내가 만든 거 맞죠?"" 라고 따졌는데도 빼고 넘어가더라. <LF> 정말 미치도록 화가 났어 <LF> 그 뒤부터는 에 내 이름을 크게 . <LF> 이제는 법적 검토도 고민할 정도로 진심이야."
일반 대화,사무실 에어컨이 고장 나서 더워 죽을 지경이었어. 시설팀에 신고했는데 나 몰라라 하길래 열 받았지. <LF> 동료들은 병신 취급하듯 짜증만 내다가 한 사람이 소리지르기까지 했어. <LF> 결국 매니저가 와서 30분 만에 고쳐줬지만 땀에 절어 일했더니 체력만 바닥났어. <LF> 다시는 이런 일 반복되지 않도록 고장 날 때마다 칼같이 민원 넣을 거야. <LF> 정말 다음엔 또 이런 일 겪기 싫어.,사무실 이 고장 나서 더워 죽을 지경. 팀에 신고했는데 나 몰라라 하길래 열 받았지. <LF> 동료들 병신 취급하듯 만 내다가 한 이 했어. <LF> 결국 매니저가 와서 30분 만에 고쳐줬지만 땀에 절어 일했더니 체력만 바닥났어. <LF> 다시는 이런 일 반복 고장 날 때마다 칼 민원 넣을 거야. <LF> 정말 다음엔 또 이런 일 겪기 싫어.
일반 대화,"택배 상자가 열려 있고 물건이 전부 도난당했어. 돈은 날리고 손해배상만 청구된다니 기분 나쁘다 말도 못해. <LF> 고객센터에 신고하니 한 달 걸린다고 하는데, 제발 빨리 처리됐으면 좋겠어. <LF> 이럴 바엔 경찰에 바로 신고해서 추적해야 할까 고민 중이야. <LF> 다음번엔 안전봉투에 넣어달라고 반드시 요청해야겠어. <LF> 이제 택배는 절대 함부로 신뢰하지 않을 거야.",택배 상자가 열려 있고 물건이 전부 도난당했어. 돈 날리고 손해배상만 청구된다니 기분 나쁘다 말도 못해. <LF> 에 신고하니 한 달 하는데 제발 빨리 처리됐으면 좋겠어. <LF> 이럴 바엔 경찰에 바로 해서 추적해야 할까 고민 야. <LF> 다음번엔 안전봉투에 넣어고 반드시 요청해야겠어. <LF> 이제 택배 절대 신뢰하지 않을 거야.
일반 대화,점심값 5000원 빌렸는데 아직 갚지 않아 정말 미치겠어. 미안하다고는 하지만 매번 미루기만 하더라. <LF> 내가 소리지르면 기분 나빠하니 참았지. <LF> 이번 주말까지 무조건 갚으라고 압박하자고 생각 중이야. <LF> 안 갚으면 다음엔 법적 조치라도 고민해야겠다. <LF> 더는 이런 일 없도록 해야겠어.,점심값 5000원 빌렸는데 아직 갚지 정말 미치겠어. 미안하다고는 하지만 매번 미루기만 하더라. <LF> 내 소리 기분 나빠하니 참았지 <LF> 이번 주말 무조건 갚으라고 압박하자고 생각 중이야. <LF>  갚으면 다음엔 조치라도 고민해야겠다. <LF> 더는 이런 일 없도록 해야겠어
일반 대화,"회식비 정산할 때 한 놈이 돈 내놓으라 해놓고 시치미 뗐어. 협박 비슷하게 구는 모습 보니 돌아버릴 것 같았어. <LF> 결국 화면 캡처해서 증빙 자료 모아놨다니까. <LF> 다음번부터는 카드 결제 화면을 바로 캡처해두고, 현금 처리 안 하기로 했어. <LF> 절대 또 당하지 않을 거야. <LF> 정산 끝나고 나면 꼭 확인할 거야.","회식비 정산할 한 놈이 내놓으라 해놓고 뗐어. 협박 비슷하게 는 모습 보니 돌아버릴 것 같았어. <LF> 결국 화면 캡처해서 증빙 자료 모아놨다니까. <LF> 다음번부터는 카드 결제 화면을 바로 캡처해두고, 현금 처리 안 하기로 했어. <LF> 절대 또 당하지 않을 거야. <LF> 정산 끝나고 꼭 확인할 거야."
일반 대화,"사무실에서 동료가 내 모니터에 낙서해놓고 사과도 안 했어. 자료 다 더럽게 손대놓고 미안하다는 말 한마디 없더라. <LF> 화가 나서 바로 인사팀에 신고했어. <LF> 그제서야 미안하다더니, 그 뒤로 내 USB도 못 빌려주게 됐어. <LF> 앞으로는 내 컴퓨터 절대 방치하지 않을 거야. <LF> 다시는 이런 일 반복되지 않길 바라.","사무실에서 가 내 모니터에 해놓고 사과도 안 했어. 자료 다 더럽게 손대놓고 미안하다는 말 한마디 없더라. <LF>  나서 바로 팀에 했어. <LF> 그제서야 미안하다더니, 그 뒤로 내 USB도 빌려주게 됐어.앞 내 컴퓨터 절대 방치하지 않을 거야. <LF> 다시는 이런 일 반복되지 않길 바라."
일반 대화,"지하철역에서 누군가 갑자기 소리지르며 난동을 부렸어. 휴대폰 뺏길까 봐 너무 무서워 죽는 줄 알았다니까. <LF> 다행히 순찰하던 경찰이 제압해서 상황은 정리됐지만, 한동안 멘붕 상태였어. <LF> 이러다 진짜 큰 사고 나는 걸까 두렵더라. <LF> 다음부턴 그런 상황에선 즉시 신고하고 몸을 피해야겠어. <LF> 정말 다음엔 안전 거리를 확보할 거야.","에서 갑자기 소리지르며 을 부렸어. 휴대폰 뺏길까 봐 너무 무서워 죽는 줄 알았다니까. <LF> 다행히 순찰하던 경찰이 제압해서 상황은 정리됐지만, 한동안 멘붕 상태였어 <LF> 이러다 진짜 큰 사고 나는 두렵더라. <LF> 다음부턴 그런 상황에선 신고하고 을 해야겠어. <LF> 정말 다음 안전 거리를 확보할 ."
