clean_text,label
진짜너 스스로까지 달라고 애원하는지금것인가? 아닙니다. 죄송합니다. 죽여죽을 거면 혼자 죽지 우리를 사건에 휘말리게 해 했습니다 죽여버리고 싶게. 정말 잘못했습니다.죽을래 너가 선택해. 너가 네 가족을 죽여줄까. 죄송합니다. 정말 잘못 . 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야. ?선택 못하겠습니다. 한번만 도와주세요. 그냥 다 죽여버려야겠군. 이의 없지? 제발 도와주세요.,0
길동에입니다. 9시 40분 마트에터지면폭발물을 설치할거다. 네?판단 들어 한번만 더 얘기한다. 장난전화 걸지 마시죠. 9시 마트경찰서 폭발물이 똑바로다 죽는거야. 장난전화는 업무방해죄에 해당됩니다. 은 40분에게 달려있다. 길동경찰서에도너폭발물 터지면 꽤나 재미있겠지선생님 . 진정하세요. 난 이야기했어. 경고했다는 말이야.,0
너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어. .그만해니들 놀리는거 재미없어.들지영아 가 ?어찌160이지? 그럼 재는 160 안돼는거네키 너 군대도도!가고 좋겠다. 니 이 나 작은데 보태준거 있냐? 난쟁이들도 장가가고하던데. 너도 희망을 가져봐 더이상 하지마라. 그 키크는 수술도너있대잖아? 니네 엄마는 그거 안해주디? 나람 해줬어. 저 키로 살아. 제발 그만 괴롭히라고안,3
어이 거기 예?? 너 말이야 너. 이리 오라고 일. 너없어요옷죽는다좋아보인다? 얘 돈 좀 있나봐 아니에요.돈 뒤져서 나오면 오늘 피시방 콜?무슨콜. 마지막넌기회다. 있는거 다 내놔 정말 없어요,1
저기요 혹시 날이 너무 그럼? 저희누구회사에서 이 선크림그래도파는데 한 번 에 발라보실래요? 아 진짜요? 안 선크림 필요해서 알아보던 중인데 한 번 발라 이! 여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요. 음이번 성분볼게요 좋다고 하셔서 좋은거 같기는 한데 제 피부에 맞지 않나봐요. 피부가 따끔거리네요.마세요.에 진짜 열심히 연구해서 만든건데 피부적 많이 예민하신가봐요. 네 많이 예민해요. 뜨겁잖아요 많이 파시고 안녕히 계세요. 아니 저기요 돈 안내요? 네? 발라보는것도 돈 내야 하나요? 그럼 이거 한테 팔아요? 당신이 바른거를? 아니 먼저 발라 보시라고 하셨잖아요. 먼저 그것해놓고 .고 강매하는거 갈취 몰라요? 내가 안 사도 된다고 말 한 가 있어? 권유도 모르고 바른걸인거 누구탓 하나?손등빨리 사 당신이 바른거 당신이 사야지 진짜 어이가 없어서 다른 사람들한텐 이렇게 갈취하지 사라 화딱지나네,1
나 이틀뒤에 가나다 예약좀 해줘. 저녁7시로. 가나다 음식점이이기도.? 응. 뭐 ?한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀팀해줘.? .죄송하지만한번. 저도뭐 말 프로젝트로 정신없어서. . 사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보요 해야지! 하지만 라서 이번엔. 말 참프로젝트이상하게 하네? 이번엔부모님 내가 남자친구 매일같이 이런 심부름이나 시킨다는거야월 야?! 아닙니다. 제가저말 실수 했습니다하면 말씀하신 예약 꼭음식점해두겠습니다. 이러면 하고도 욕먹는거야! 장님에 네네 알겠습니다 ?! 좀 좋아.팀죄송합니다. 알겠습니다.,2
35번 없이 아이스커피 두분명히왔습니다 아이스커피? 네 맛있게드세요나저기요아스아가씨 는 아 시킨적이 없는데?받았습니다아 분명 오늘 날이.더우시다고 주문로 시키셨는데요 내가 그랫어? 네잔나. 아그런 기억이 없는데? 아가씨가잘못안거 아니야? 아니요. 오늘 손님유도 첫 주문이라 확실히 기억하고 있습니다 아가씨 왜이렇게 이리가 손님 굴어 그냥 아 제가 잘못 아이스 유 되지? .네?. 어휴 하면도리 없어 그냥 마실게,3
경비수 내차에 경고장 붙였어요? 내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이딴식으로 경고장 로께서 입주민? 가이주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속라들어옵니다어쩔 내가 항상 대는 거기 자리가 없으니까 그렇지. 내차 거이제어떻게 할거요? 얼마짜린줄이야알아? 아저씨 차례인터폰도 드렸고 과장을 올렸으나 몇일째 그대로 인지 아파트규약에 맞춰 .수 없었습니다 그렇다고 본드로 붙이 ? 당장 이거 깨끗히 원상복구시키고 세차해와 그럴 수는 없습니다. 내정해진을낸어떻게관리비붙여 월급받는 주제에면뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요! 말씀이 경고하신거 아닙니까 딱 기다려요?이름뭐죠? 나 지금 가면 당신 끝,3
이거 할인 된다면서요 확인해보겠습니다 아까 저 시람은 할인 해주던데 네장저 손님은 고객님이십 진정 고객을 하는 거에요? 저희는 등급제로차별겁니다돼서 그런운영 점 불러오세요니 손님 이건 점장님도 해결해주시지 못합니다 그니까 점장 불러와 다을 좀 해보세요,3
수 세금계산서많이보내준 거 메일이랑 수치가 다르던데? 그게. 얼마나성의해먹었어하는 괜찮아. 다른 업체들도 다 그래. 회사. 비밀로 해주십시오. 그래그래에는 근데 는 표시해야지? 어느정도.생각하시죠? 10이. 네가 도 해먹었는데 그 는 되겠지. 그건 너무 많습니다. 그럼 김사장한테 직접 말? 자네밖에 없지. 그리고 건은 국세청에도 걸리는거 알지?정도좀 더장기한을 주십시오?,1
