clean_text,label
"지금 나한테 제발 죽으라고 애원하는 거야? 아니요, 죄송해요. 네가 죽을 거면 혼자 죽어. 우리를 끌어들이지 마. 그럼 정말 너를 죽이고 싶은 마음이 들어. 진심으로 사과할게요. 네가 결정해. 너가 죽고 싶어, 아니면 내가 네 가족을 죽일까? 죄송해요. 정말 잘못했어요. 네가 선택할 수 있는 게 없어. 선택 못 하면 네 가족 전부랑 너도 내가 죽일 거야. 저는 선택할 수 없어요. 제발 이번 한 번만 도와줘요. 그럼 다 죽여야겠네. 반대하지 않지? 제발, 도와주세요.",0
"여기는 길동 경찰서입니다. 9시 40분에 마트에 폭발물을 설치하겠습니다. 뭐라고요? 잘 들어요, 한 번 더 말하겠습니다. 장난 전화 하지 마세요. 마트에서 9시 40분에 폭발물이 터지면 모두 죽게 됩니다. 장난 전화는 업무 방해에 해당합니다. 결정은 당신에게 달려 있습니다. 길동 경찰서에도 폭발물이 터진다면 꽤 흥미로울 겁니다. 아저씨, 제발 진정하세요. 이미 말씀드렸습니다. 이것을 경고로 받아들여 주세요.",0
"너 정말 귀엽다는 거 알아? 나보다 키 작은 남자는 처음 봤어. 그만해. 너희들 놀리는 거 재미없어. 지영아, 너 160cm지? 그럼 걔는 160cm도 안 되는 거네? 군대 안 가도 되니까 너 운 좋은 거야. 너희는 나 덜 작아 보이게 도와준 적 있어? 난쟁이들도 결혼한대, 너희도 희망 가져야지. 그만 좀 해. 키 크는 수술 있다고 들었는데, 네 엄마가 그거 해줬다며? 엄마가 나 때문에 해줬지. 그 키로 어떻게 살았겠어? 제발 괴롭히지 마!",3
"야, 너 거기 있지? 응?? 너한테 하는 말이야. 이리 와봐. 무슨 일이야? 옷이 멋지네. 돈 좀 있나 보네. 아니, 없는데. 난 돈 한 푼도 없어. 찾아봐서 나오면 죽는다. 오늘 PC방 갈래? 좋아. 이번이 마지막 기회야. 가진 거 다 내놔. 정말 아무것도 없어.",1
"실례합니다, 날씨가 정말 덥지 않나요? 저희 회사에서 이 자외선 차단제를 판매하고 있습니다. 손등에 좀 발라보시겠어요? 아, 정말요? 사실 자외선 차단제를 찾고 있었는데, 한번 발라볼게요! 자, 이거 발라보세요. 성분이 정말 좋고, 품질도 훌륭해요. 음 성분이 좋다고 하셨으니 괜찮을 것 같은데, 제 피부에는 안 맞는 것 같아요. 피부가 조금 따가워요. 저희가 연구하고 제작하는 데 많은 노력을 기울였거든요. 아마 피부가 매우 민감하신가 봐요. 네, 정말 민감해요. 그럼, 판매 잘 되시길 바랍니다. 안녕히 계세요. 잠깐만요, 이거 무료로 주시는 게 아니에요? 뭐라고요? 발라보기만 해도 돈을 내야 하나요? 그럼 이거 누구한테 파는 거예요? 이거 발라본 사람한테요? 아니요, 먼저 발라보라고 하셨잖아요. 먼저 제공해놓고 강제로 사게 하는 거, 그게 협박인 거 모르세요? 제가 사지 않아도 된다고 한 적 있나요? 그걸도 모르면서 바른 걸 왜 저한테 탓해요? 빨리 사세요. 바르셨으니 사야죠. 솔직히 이거 어이가 없네요. 남한테 이렇게 협박하지 마세요. 정말 화나요.",1
"가나다 식당에 이틀 뒤 오후 7시에 예약해 줘. 가나다 식당? 응. 남자친구 부모님을 인사드리려고 하는데, 거기 예약 잡기가 좀 힘들어. 수진아, 너가 좀 처리해 줄래? 나, 팀장님? 나 이번 달말 프로젝트 하느라 진짜 바빠. 미안. 직장 생활 경험 없다는 걸 너무 티내는 거 아니야? 프로젝트를 잘하는 것도 중요하지만 상사에게 좋은 인상을 주는 것도 얼마나 중요한데. 하지만 이번에는 팀 프로젝트니까 말투가 이상해. 이번에는? 매일 너한테 심부름시키는 거냐고? 그게 무슨 말이야?! 아니, 그런 뜻이 아니야. 말이 좀 꼬였어. 네가 부탁한 예약은 꼭 할게. 이렇게 해도 또 혼나! 차라리 그냥 네, 알겠습니다 하는 게 낫지 않아?! 미안해. 알겠습니다.",2
"주문 번호 35번 아이스커피 두 잔 준비되었습니다. 아이스커피요? 네, 음료 즐기세요. 저기요, 아가씨, 전 아이스커피 주문한 적 없는데요. 사실 오늘 날씨가 더우니까 아이스커피로 요청하셨잖아요. 제가 그럴 리가 있나요? 네, 분명히 그렇게 말씀하셨어요. 전 전혀 기억이 안 나는데요. 혹시 착각하신 거 아닌가요? 아니에요, 오늘 첫 주문이라서 확실히 기억합니다. 아가씨, 왜 그렇게 융통성이 없으세요? 그냥 아, 죄송해요, 주문을 잘못 받았나 봐요라고 하면 되잖아요. 뭐라고요? 휴, 전혀 융통성 없네요. 그냥 마실게요.",3
"경비원님, 제 차에 경고문 붙였나요? 여기 몇 년째 살고 있는데, 아직도 제 차를 알아보지 못하고 그런 경고문을 붙이다니요? 주민들이 지정된 주차 공간 대신 통로에 계속 주차하는 사람이 있어서 불만을 제기하고 있어요. 저는 원래 주차 공간이 항상 차 있어서 거기에 주차하는 것뿐이에요. 제 차에 대해 어떻게 할 거죠? 제 차가 얼마짜린지 아세요? 인터폰도 여러 번 눌렀고 경고문도 붙였는데 며칠째 이래서 어쩔 수 없이 아파트 규정을 따를 수밖에 없었어요. 차에 경고문을 붙여놓은 건가요? 이거 치우고 바로 차 좀 세차하세요. 그럴 수 없어요. 제가 내는 관리비로 월급 받으면서 무슨 문제예요? 그럼 경고문을 붙이지 말았어야죠. 지금 당장 갈 겁니다! 좀 심한 것 아닌가요? 잠깐만요. 이름이 뭐죠? 지금 제가 가면 끝장이에요.",3
"할인해준다고 하셨잖아요. 확인해보겠습니다. 아까 그분은 할인을 받으셨습니다. 네, 그 고객님은 저희 거래처 중 한 분이십니다. 고객을 차별하는 겁니까? 저희는 등급별 시스템으로 운영하고 있어서 그렇습니다. 매장 관리자 좀 불러주세요. 사장님, 매장 관리자도 이 문제를 해결할 수 없습니다. 바로 그거예요, 매장 관리자를 데려오세요. 진정해 주세요.",3
"당신이 보낸 송장은 이메일에 적힌 금액과 맞지 않습니다. 글쎄요... 당신이 얼마나 챙겼나요? 괜찮아요. 다른 회사들도 다 그래요. 회사에는 비밀로 해주세요. 네, 네. 하지만 적어도 성의는 보여야 하지 않나요? 어느 정도는요. 그렇지 않나요? 열 배요. 많이 챙기셨으니 그 정도가 적당해 보이네요, 그렇죠? 그건 너무 많아요. 그렇다면 직접 김 부장님과 얘기할 수밖에 없네요. 그리고 이 문제가 국세청에 신고될 수도 있다는 거 아시죠? 조금만 더 시간을 주세요.",1
