clean_text,label
진짜 너 스스로 까지 달 라고 애원 하 는 지금 인가 ? 아닙니다 . 죄송 합니다 . 죽여 죽 을 거 면 혼자 죽 지 우리 를 사건 에 휘말리 게 해 했 습니다 죽여 버리 고 싶 게 . 정말 잘못 했 습니다 . 죽 을래 너 가 선택 해 . 너 가 네 가족 을 죽여줄까 . 죄송 합니다 . 정말 잘못 . 너 에게 는 선택 권 없 어 . 선택 못 한다면 너 네 가족 까지 모조리 죽여 버릴 거 야 . ? 선택 못 하 겠 습니다 . 번 만 도와 주 세요 . 그냥 다 죽여 버려야 겠 군 . 의 없 지 ? 제발 도와 주 세요 .,0
길동 에 . 9 시 40 분 마트 에 터지 면 폭발물 을 설치 거 다 . 네 ? 판단 어 번 만 더 얘기 . 장난 전화 지 마시 죠 . 9 시 마트 경찰서 폭발물 똑바로 다 죽 는 거 야 . 장난 전화 는 업무 방해죄 에 해당 됩니다 . 은 40 분 에게 달려 있 다 . 길동 경찰서 에 너 폭발물 터지 면 꽤 나 재미있 겠 지 선생 님 . 진정 하 세요 . 난 이야기 했 어 . 경고 했 다는 말 야 .,0
너 되게 귀여운 거 알 지 ? 나 보다 작 은 남자 는 첨 봤 어 . . 그만 해니 놀리 는 거 재미없 어 . 지 영아 가 ? 어찌 160 지 ? 재 는 160 돼 는 거 네 키 너 군대 ! 가 고 좋 겠 다 . 니 나 작 은 데 보태 준 거 있 냐 ? 난쟁이 장가가 고 하 던데 . 너 희망 을 가져 봐 더 이상 하 지 마 라 . 키 크 는 수술 너 있 대잖아 ? 니 네 엄마 는 그거 해 주 디 ? 나람 해 줬 어 . 키 살 아 . 제발 그만 괴롭히 라고,3
어 예 ? ? 너 말 야 너 . 이리 오 라고 일 . 너 없 어요 옷 죽 는다 좋 아 보인다 ? 얘 돈 좀 있 나 봐 아니 에요 . 돈 뒤져서 나오 면 오늘 피시방 콜 ? 무슨 콜 . 마지막 넌 기회 다 . 있 는 거 다 내놔 정말 없 어요,1
요 혹시 날 너무 ? 저희 회사 선크림 그래도 파 는데 번 에 발라 보 실래요 ? 아 진짜 요 ? 선 크림 필요 알아보 던 중 인데 번 발라 ! 번 발라 보 세요 . 진짜 성분 좋 고 다 좋 아요 . 음 이번 성분 볼 게 요 좋 다고 하 셔서 좋 은 거 같 기 는 한데 제 피부 에 맞 지 않 나 봐요 . 피부 가 따끔거리 네요 . 마세요 . 에 진짜 열심히 연구 만든 건데 피부 적 많이 예민 하 신가 봐요 . 네 많이 예민 해요 . 뜨겁 잖아요 많이 파 시 고 안녕히 계세요 . 아니 저기요 돈 내 요 ? 네 ? 발라보 는 돈 내 야 하 나요 ? 이거 한테 팔 아요 ? 당신 바른 거 를 ? 아니 먼저 발라 보 시 라고 하 셨잖아요 . 먼저 그것 해 놓 고 . 고 강매 하 는 거 갈취 몰라요 ? 내 가 사 된다고 말 가 있 어 ? 권유 모르 고 바른 인 거 탓 하나 ? 손등 빨리 사 당신 바른 거 당신 사 야지 진짜 어 가 없 어서 다른 사람 한텐 갈취 하 지 사라 화 딱 지나 네,1
나 이틀 뒤 에 가 나다 예약 좀 해 줘 . 저녁 7 시 . 가나다 음식점 이기도 . ? 응 . ? 한테 인사 드리 려는데 가 예약 좀 힘들 어 ? 그러니까 수진 씨 가 좀 팀 해 줘 . ? . 죄송 하 지만 번 . 말 프로젝트 정신없 어서 . . 사회생활 해 본 티 를 너무 내 는 거 아니 야 ? 프로젝트 만 백날 잘 하 면 해 ? 윗 상사 한테 잘 보요 해야지 ! 라서 이번 엔 . 말 참 프로젝트 이상 하 게 하 네 ? 이번 엔 부모 님 내 가 남자 친구 매일 같이 이런 심부름 이나 시킨다는 거 야 월 야 ? ! 아닙니다 . 제 가 말 실수 했 습니다 하 면 말씀 하 신 예약 꼭 음식점 해 두 겠 습니다 . 이러 면 하 고 욕먹 는 거 야 ! 장 님 에 네네 알 겠 습니다 ? ! 좀 좋 아 . 팀 죄송 합니다 . 알 겠 습니다 .,2
35 번 없이 아이스커피 두 분명히 왔 습니다 아이스커피 ? 네 맛있 게 드세요 나 요아스 아가씨 는 아 시킨 적 없 는데 ? 받 았 습니다 아 분명 오늘 날 . 더우 시 다고 주문 시키 셨 는데요 내 가 랫 어 ? 네 잔나 . 아 그런 기억 없 는데 ? 아가씨 가 잘못 거 아니 야 ? 아니요 . 오늘 손님 유도 첫 주문 라 확실히 기억 하 고 있 습니다 아가씨 이리 가 손 님 굴 어 그냥 아 제 가 잘못 아이스 유 되 지 ? . 네 ? . 어휴 하 면 도리 없 어 그냥 마실 게,3
경비 내차 에 경고장 붙였 어요 ? 내 가 몇 년 째 사 는데 아직 내 차인 줄 모르 고 이딴 식 으로 경고장 께서 입주민 ? 가 주차 자리 가 아닌 통로 에 계속 주차 하 셔서 입주민 항의 가 계속 라 들어옵니다 어쩔 내 가 항상 대 는 자리 가 없 으니까 그렇 지 . 내 차 거 이제 거 요 ? 얼마 짜린 줄이 야 알 아 ? 아저씨 차례 인터폰 드렸 고 과장 을 올렸으나 몇일 째 그대로 인지 아파트 규약 에 맞춰 . 없 었 습니다 그렇 다고 본드 붙이 ? 당장 이거 깨끗히 원상 복구 시키 고 세차 해와 그럴 는 없 습니다 . 내정 해진 을 낸 어떻 게 관리비 붙여 월급 받 는 주제 에 면 라는 거 야 ? 붙 혔 으면 되 잖아 . 나 지금 가 요 ! 말씀 경고 하 신 거 아닙니까 딱 기다려요 ? 이름 죠 ? 나 지금 가 면 당신 끝,3
이거 할인 된다면서요 확인 해 보 겠 습니다 아까 시 람 은 할인 해 주 던데 네 장저 손 님 은 고객 님 십 진정 고객 을 하 는 거 에요 ? 저희 는 등급 제 차별 겁니다 돼서 그런 운영 점 불러오 세요 니 손 님 건 점장 님 해결 해 주 시 지 못합니다 그니까 점장 불러와 다 을 좀 해 보 세요,3
세금 계산서 많이 보내 준 거 메일 수치 가 다르 던데 ? 그게 . 얼마나 성의 해 먹 었 어 하 는 괜찮 아 . 다른 업체 다 그래 . 회사 . 비밀 해 주 십시오 . 그래 그래 에 는 근데 는 표시 해야지 ? 정도 . 생각 하 시 죠 ? 10 . 네 가 해 먹 었 는데 는 되 겠 지 . 그건 너무 많 습니다 . 김 사장 한테 직접 말 ? 자네 밖에 없 지 . 건 은 국세청 에 걸리 는 거 알 지 ? 정도 좀 더장 기한 을 주 십시오 ?,1
네 드릴까요 ? 말 보르 레드 하나 . 네 . 요 ! 사장 은 없 어 해 네 사장 님 지금 계세요 . . 찾 으세요 ? 지금 부터 에 내 말 잘 어 . . 주머니 에 있 는 돈 다 담 아 . 네 ? ? 이러 세요 ! ! 입 닥쳐 빨리 사람 오기 전 돈 이나 쓸 어 담 어 . . 살려 만 제대로 빨리 제발 . 주 세요 하 면 패 버릴 거 니까 빨리빨리 ? 라 . 하 면 요 . 진작 이렇 게 줄 지 . 경찰 신고 네 알 지 ?,1
대리 오늘 도대체 뭘 거 야 ? 하 라 정리 하 고 바닥 했 습니다 이게 거 니 ? 네 열심히 했 습니다 이건 복사 해놨 니 ? 아까 창고 고 하 셨 는데요 내 가 ? 아까 말 했 는데 너 가 . 못 귀 니 ? 아닙니다 청소 지금 하 겠 습니다 당장 물 거 니 새로 받 아 이걸 었 어 먹 으라고 ? 죄송 합니다,2
네네 무슨 일 마세요 에 전화 주 셨 나요 ? 우리 애 가 지우개 ? 훔친 거 가지 고 애 앞 면박 줬 니 ? 그런 게 확실 해 댁 내 따님 분 두 번 훔친 아니 고 여러 번 훔친 게 확인 되 어서 경찰 너무 심할 거 꾸중 마디 겁니다 . 아니 구멍가게 물건 얼마 한다고 그러 냐고 내 애 가 맨날 훔친 거 아니 고 ? 네 본 애 있 고 확실 합니다 됐 고 내 애 울 면서 부르 는 건 하교 같 아서 했 어 번 일 각오 하 는 게 좋 을 거 야 너 애 있 다며 하나 제 애 까지 끌어들이 지 마세요 내 애 울 면서 들어왔 는데 넘어가 니 애 죽여 버릴 거 야 이러 지 때문 곤란 합니다 . 단지 교육 차원 네 마디 네 라고요 됐 고 못 아 했 을 애 보이 그냥 죽여 버릴 테 니까 니 아들 죽 은 거 보고 그때 반성 해 남 애 함부로 울리 면 되 는지,0
형 형 ! 돈 좀 있 어 ? 요 . ? 형 말 고 있 어 ? 형 얼마 있 어 ? . . 돈 없 어요 . 근데 . 제 가 형 에요 ? 에이 잘 생겼 으니까 형 지 . 형 돈 좀 만지 갑주 면 때릴게 봐 만 줘 좀 . 많 게 생겼 네 내 진짜 현금 없 어요 . 진짜 요 . 놔 주 세요 . 에이 그냥 주머니 에 ! 있 네 ! 내 가 지갑 뒤져봐도 돼 ? 뒤져서 나오 면 하 려고 ? 줘 진짜 우스워 없 어요 . 죄송 해요 . 나 진짜 지갑 연다 ? 돈 가 말 만 이러 니까 ? 지갑 에 돈 없 어요 죄송 해요 .,1
대리 님 그러 세요 ? 가 이거 오늘 까지 제출 해야 하 는데 좀 ? 네 ? 해야 일 많 아서요 . 아니 좀 도와 달 라잖아 그것 해 줄래 못 해 줘 ? 도와 드리 고 싶 은데 김 사원 일 많 아서요 . 너 나 얼굴 맞대 고 일 해야 하 는데 감당 있 겠 어 ? 네 ? 감당 있 으면 하 지 말 든가 아닙니다 제 하 겠 습니다 .,2
야 너 휴대폰 좀 빌려줘 봐 돼 . 지난달 에 휴대폰 요금 너무 휴대폰 엄마 한테 혼났 어 . 알 바 야 ? 닥치 고 폰 이나 내놔 폰 주 면 또 결제 하 려고 많 아 줄 ? 응 게임 캐시 그러 지다 떨어져서 충전 좀 돼 진짜 . 맞 고 래 그냥 래 ? 나와서 진짜 번 만 더 많이 결제 거 줄 들켰 다가 는 뺏길 지도 몰라 아 씨 오늘 말 당장 내놔 ? 제발 .,1
잠깐 만 있 는 거 학생 ? 부르 셨 너 요 ? 겠 어 부르 시 죠 내 가 지갑 을 잃어버려서 돈 없 다 돈 좀 있 녀 아니요 현금 없 어요 에 열 어 봐 이건 되 요 그건 주머니 내 가 판단 해 내놔 봐 ? 이건 제 돈 아니 에요 이리 줘 돈 좀 맞 을래 ? 예 그건 정말 제 아니 에요,1
얼마 가 져왔 어 ? 십 만 원 정도 . 야 걸로 새 폰 을 사 이게 최선 었 어 . 최선 을 다 해 맞 자 너 제발 때리 지만 마 ! 내일 까지 만들 어 배 3 그걸 . 아 그건 네 가 생각 해야지 말 돼 .,1
야 너 이마빡 에 빛 난다 어 ? 대 만 때려 보 자 퍽 아 흑 그래 아팠 어 ? 빛 나 길래 봤 다 가만히 있 어 빡 퍽퍽 야 두드리 니깐 두드려 열리 겠 는데 ? 빛 나다 열리 나 ? 야 뭔 소리 야 저리 치워 너 서운 하 게 그러 냐 친구 사이 에 퍽퍽퍽 흑 야 너 미쳤 어 ? 광 난다 이마 봐야 참 예뻐 흑흑,3
