clean_text,label
"오늘 지각 냐 , 게으른 놈 아 ? 야 , 씨 X 지하철 멈췄 거든 ? 입 닥치 고 자리 좀 비켜 . 뚱뚱 엉덩이 라 두 칸 차지 하 잖아 , 살 좀 빼 라 ! 어휴 잔소리 점심 값 은 내 가 쏠 테 니 노트 나 빌려 . 그래 , 뒤 자빠져 자 지 말 고 필기 깨끗이 해 와라 .",4
"야 , 어제 풋살 그놈 의 돌발 슛 냐 ? 개 깜놀 했잖아 ! 아니 , 공 삐걱대 서 그랬 다니까 ? 졸라 민망 했 다 . 네 얼굴 만큼 삐뚤 었 더라 , 새 X 야 . 그래도 골 은 인정 . 입 아프 다 , 피자 판 사면 용서 해 줄게 . 지갑 열 어 얼른 !",4
"대머리 형 , 오늘 모자 썼 네 ? 두피 번쩍 눈 에 튀 네 . 야 , 지랄 하 지 마 라 . 광 나 는 건 관리 잘 그런 거 야 . 미친 놈 , 선크림 바르 면 네 두피 통구이 된다 . 얼른 발라 ! 쓸데없 는 걱정 고맙 다 . 대신 커피 는 네 카드 긁 는다 .",4
"야 , 너 어제 술 먹 고 또 난동 부렸 다며 ? 얼굴 불타오르 더라 . 씨 X 취한 김 에 노래방 고음 빡빡 질렀 지 . 옆방 귀 가 썩 는다던데 ? 개 웃겼 다 진짜 . 시끄럽 다고 대 칠 뻔 했 다던데 ? 맞 은 게 다행 야 , 언 빵 !",4
"헬스 장 갔 다며 ? 근육 은 늘 고 뱃살 은 그대로 네 , 하하 . 웃기 시 네 . 나름 벤치 60 올렸 거든 ? 멍청이 야 . 60 ? 내 가방 보다 가볍 네 . 좆 밥 따로 없 구먼 . 지켜 봐라 , 두 달 뒤 에 네 비어 빠진 가슴 박살 낸다 .",4
"코딩 하 다 버그 났 다며 ? 로그 보 니 개판 던데 . 하 IDE 가 또 뻗 어 버렸 어 . 진짜 좆같 다 . 네 실력 탓 아니 고 ? 복 붙 만 하 니 그렇 지 , 손가락 아 . 어휴 , 잔소리 그만 하 고 라면 이나 끓여 . 밤샘 콜 ?",4
"야 , 네 발 냄새 또 테러 했 냐 ? 사무실 에 썩 은 탄내 진동 . 쉿 , 조용 . 새 신발 라 땀 찼 어 . 좀 참 아라 , 새끼 야 . 발 소독 제 뿌려 줄까 ? 코 가 마비 될 지경 라고 . 알 았 어 , 양말 갈 아 신고 사과 의 커피 쿠폰 뿌린다 .",4
"게임 랭크 또 떨어졌 대 ? 실버 탈출 은 개꿈 냐 . 씨 X , 우리 팀 딱 덕 에 강등 됐 다 . 나 만 탓 하 지 마 . 실력 되 면서 변명 은 프로 급 네 , 월 탱 . 입 다물 고 리플 봐라 . 이따 리뷰 해 줄 테 니 목욕재계 하 고 .",4
"야 , 네 새 사진 봤 다 . 화질 X 망 던데 스민 용 인가 ? 폰 카메라 가 구려 서 그렇 다 , 개분 아 . 조만간 기변 간다 . 기변 전 에 사진가 가 잡 는 법 부터 배워 . 손 떨림 개심 각 . DSLR 좀 빌려 . 입 만 나불대 지 말 고 !",4
"오늘 발표 ? 목소리 게 작 게 떨리 더라 ? 심장 졸 았 냐 . 씨 X , 준비 줄 알 았 지 ? 사실 일부러 톤 조절 거 거든 ? 헛소리 . 배짱 반 만 나눠 줘라 . 넌 겁 많 아 보여 , 쫄 바 야 . 졸보 맞 다 . 대신 리포트 는 내 가 캐리 했으니 토 달 지 마 .",4
"얼짱 아 , 비밀 번호 또 까먹 었 냐 ? 몇 번 째 냐 진짜 . 머리 에 저장 공간 적 어요 선생 님 . 지랄 말 고 힌트 줘 . 힌트 ? 네 첫 사랑 이름 잖아 . 기억 못 하 면 알 야 . 젠장 , 괴롭히 지 말 고 메신저 보내 라 .",4
"야 , 머리 염색 했 냐 ? 갈치 비늘 처럼 번쩍거리 네 . 눈 뽕 맞 았 어 ? 요새 유행 컬러 란다 , 무지 센스 없 네 . 아이고 , 센스 는 무슨 , 똥파리 못 앉 겠 다 . 촌티 철철 . 말 많 네 . 네 촌스러운 패딩 보다 야 백 배 낫 지 , 개똥 아 .",4
"오늘 커피 세 잔 째 냐 ? 카페인 좀 줄여 , 벌벌 떨 다 쓰러진다 . 씨 X , 네 걱정 마라 . 내 심장 은 강철 야 . 강철 ? 돼지 심장 아니 고 ? 벌써 배 뽈록 하 잖아 . 그러 는 넌 뼈다귀 말라깽이 . 바람 불 면 날아가 겠 네 .",4
"야 , 주차 또 삐뚤 었 지 ? 라인 밟 은 거 사진 떴 다 . 젠장 , 공간 좁 았 어 . 네 차 문 열 조심 해라 . 라인 못 보 는 건 시력 탓 냐 , 별로 냐 ? 안경 새로 해 ! 입 나 불 그만 . 대신 점심 김치찌개 내 가 산다 . 입막음 완료 .",4
"어깨 넓 어 졌 다더니 환상 속 얘기 냐 ? 민소매 입고도 종잇장 같 던데 . 개소리 마라 , 씨 X . 요즘 벤치 80 란다 . , 히 끄덕 . 벤치 킹 나 셨 네 . 그래도 팔뚝 은 면봉 던데 ? 입 운동 그만 하 고 진짜 운동장 오 라 . 스쾃 100 박고 얘기 하 자 .",4
"야 , 분식집 떡볶이 맛 모양 냐 ? 소스 가 묽 어 . 사장 님 귀 막혀 있 냐고 뻔 했 네 . 그래도 튀김 은 절 었 잖아 ? 절 긴 개뿔 , 기름 범벅 던데 . 배탈 나 면 네 탓 다 . 괜히 욕 하 지 말 고 마시멜로 사탕 처럼 입 달콤 하 게 해라 .",4
"오늘 손가락 오타 쇼 열 었 더라 ? 슬 랙 에 개꼴 사 나운 오타 난무 . 아 , 씨 X 자동 완성 또 사고 쳤 어 . 나 민망 하 다 . 민망 ? 정신 차려 인마 . 클라이언트 가 보 고 빵 터졌 대 . 헛웃음 샀으면 됐 지 . 대신 회식 고기 두 배 사 줄게 .",4
"너 카톡 프 사 냐 ? 셀카 각도 엉망 , 턱살 범벅 더라 . 아 놔 , 사진사 구하 느라 힘들 었 다 . 네 얼굴 은 감자 야 , 감자 ! 감자 가 어때서 ? 감칠 맛있 다 . 너 는 뾰족 고구마 . 고 구마 든 감 자든 같이 구워 먹 자 . 소주 준비 나 해라 .",4
"영화 보 자면서 또 시간 헷갈렸 냐 ? 멍청이 인증 . 예고편 길 었 거든 ? 씨 X 팝콘 다 식 었 네 . 식 은 팝콘 맛있 어 , 돼지 야 . 주전부리 중독 . 됐 고 , 넌 음료 뚜껑 닫 아서 쏟 았 잖아 , 얼간 .",4
"스타트업 근황 어때 ? 또 밤새워 야근 했 다며 , 좆 뺑 치 네 . 맞 다 , 제대로 갈려서 체력 방전 . 월급 루 팡 못 해 . 야근 수당 은 주 냐 ? 주 면 노예 자체 다 , 대한 심 . 노예 맞 다 . 대신 주식 줬 다던데 , 휴지 조각 냐 냐 .",4
"야 , 오늘 또 지각 했 냐 ? 너 정말 개 느려 터졌 다 . 어쩌 라고 , 어제 야근 때문 에 눈 못 붙였 거든 씨발 . 변명 은 개 나 줘 , 알람 세 개 맞추 면 그딴 핑계 필요 없 지 . 알 았 다고 꽉 물 어라 , 커피 사 올 테 니까 잔소리 는 그만 . 좋 다 , 대신 오늘 점심 은 네 가 쏴 . 약속 어기 면 진짜 욕 더 먹 는다 .",4
"헐 , 네 신발 또 모양 야 ? 진짜 구린 똥색 돼지 발굽 같 아 . 입 닥쳐 , 편하 면 장땡 야 . 패션 테러리스트 라고 부르 든지 말 든지 . 야 , 그래도 회사 사람 앞 는 좀 인간 답 게 차려입 어라 개념 탑재 해라 . 웃기 고 있 네 , 네 머리 부터 빡빡 밀 고 오 면 내 가 생각 해 볼게 . 됐 고 , 점심 에 라면 먹 으러 갈래 ? 옷 보다 배 가 더 급하 다 .",4
