idx,target
t_000,4
t_001,4
t_002,4
t_003,4
t_004,4
t_005,4
t_006,4
t_007,4
t_008,4
t_009,4
t_010,4
t_011,4
t_012,4
t_013,4
t_014,4
t_015,4
t_016,4
t_017,4
t_018,4
t_019,4
t_020,4
t_021,4
t_022,4
t_023,4
t_024,4
t_025,4
t_026,4
t_027,4
t_028,4
t_029,4
t_030,4
t_031,4
t_032,4
t_033,4
t_034,4
t_035,4
t_036,4
t_037,4
t_038,4
t_039,4
t_040,4
t_041,4
t_042,4
t_043,4
t_044,4
t_045,4
t_046,4
t_047,4
t_048,4
t_049,4
t_050,4
t_051,4
t_052,4
t_053,4
t_054,4
t_055,4
t_056,4
t_057,4
t_058,4
t_059,4
t_060,4
t_061,4
t_062,4
t_063,4
t_064,4
t_065,4
t_066,4
t_067,4
t_068,4
t_069,4
t_070,4
t_071,4
t_072,4
t_073,4
t_074,4
t_075,4
t_076,4
t_077,4
t_078,4
t_079,4
t_080,4
t_081,4
t_082,4
t_083,4
t_084,4
t_085,4
t_086,4
t_087,4
t_088,4
t_089,4
t_090,4
t_091,4
t_092,4
t_093,4
t_094,4
t_095,4
t_096,4
t_097,4
t_098,4
t_099,4
t_100,4
t_101,4
t_102,4
t_103,4
t_104,4
t_105,4
t_106,4
t_107,4
t_108,4
t_109,4
t_110,4
t_111,4
t_112,4
t_113,4
t_114,4
t_115,4
t_116,4
t_117,4
t_118,4
t_119,4
t_120,4
t_121,4
t_122,4
t_123,4
t_124,4
t_125,4
t_126,4
t_127,4
t_128,4
t_129,4
t_130,4
t_131,4
t_132,4
t_133,4
t_134,4
t_135,4
t_136,4
t_137,4
t_138,4
t_139,4
t_140,4
t_141,4
t_142,4
t_143,4
t_144,4
t_145,4
t_146,4
t_147,4
t_148,4
t_149,4
t_150,4
t_151,4
t_152,4
t_153,4
t_154,4
t_155,4
t_156,4
t_157,4
t_158,4
t_159,4
t_160,4
t_161,4
t_162,4
t_163,4
t_164,4
t_165,4
t_166,4
t_167,4
t_168,4
t_169,4
t_170,4
t_171,4
t_172,4
t_173,4
t_174,4
t_175,4
t_176,4
t_177,4
t_178,4
t_179,4
t_180,4
t_181,4
t_182,4
t_183,4
t_184,4
t_185,4
t_186,4
t_187,4
t_188,4
t_189,4
t_190,4
t_191,4
t_192,4
t_193,4
t_194,4
t_195,4
t_196,4
t_197,4
t_198,4
t_199,4
t_200,4
t_201,4
t_202,4
t_203,4
t_204,4
t_205,4
t_206,4
t_207,4
t_208,4
t_209,4
t_210,4
t_211,4
t_212,4
t_213,4
t_214,4
t_215,4
t_216,4
t_217,4
t_218,4
t_219,4
t_220,4
t_221,4
t_222,4
